ID,Ação,Explicação
1,Cachorro com óculos,Um cachorro usando óculos de sol
2,Gato astronauta,Um gato com um capacete espacial
3,Pato de botas,Um pato usando botas grandes
4,Elefante equilibrista,Um elefante em cima de uma bola de circo
5,Macaco DJ,Um macaco usando fones de ouvido e mexendo em uma mesa de DJ
6,Rato super-herói,"Um rato com capa e máscara, pronto para a aventura"
7,Pinguim detetive,Um pinguim com lupa e chapéu de detetive
8,Urso cozinheiro,Um urso usando chapéu de chef e segurando uma colher de pau
9,Tartaruga rápida,Uma tartaruga com um foguete nas costas
10,Leão cabeleireiro,Um leão segurando tesoura e pente
11,Girafa pintora,Uma girafa com um pincel e paleta de cores
12,Porco astronauta,Um porco com um traje espacial flutuando
13,Zebra listrada diferente,Uma zebra com listras em espiral
14,Cavalo cantor,Um cavalo com um microfone
15,Sapo no skate,Um sapo em cima de um skate
16,Galinha dançarina,Uma galinha dançando breakdance
17,Peixe voando,Um peixe com asas pequenas
18,Coruja professor,Uma coruja com óculos e apontando para uma lousa
19,Vaca astronauta,Uma vaca com um traje espacial
20,Cão fazendo mágica,Um cachorro com uma cartola fazendo truques
21,Rinoceronte jogando futebol,Um rinoceronte com uma bola de futebol
22,Elefante tocando trompete,Um elefante usando sua tromba como trompete
23,Coelho mágico,Um coelho saindo de uma cartola de mágico
24,Pássaro pintor,Um pássaro com um pincel na boca
25,Gato pirata,Um gato com tapa-olho e chapéu de pirata
26,Polvo chef,Um polvo na cozinha com um chapéu de chef
27,Crocodilo dentista,Um crocodilo segurando um escovão de dentes
28,Gorila bailarino,Um gorila fazendo pose de ballet
29,Tubarão de pijama,Um tubarão usando um pijama fofo
30,Esquilo fotógrafo,Um esquilo segurando uma câmera
31,Rato de laboratório cientista,Um rato com jaleco e óculos de proteção
32,Cobra charmeira,Uma cobra saindo de um cesto com uma flauta
33,Urso panda jogador de basquete,Um panda segurando uma bola de basquete
34,Lagarto no surf,Um lagarto em cima de uma prancha de surf
35,Borboleta com óculos de sol,Uma borboleta estilosa com óculos
36,Hipopótamo bailarino,Um hipopótamo em pose de dança
37,Papagaio pirata,Um papagaio em cima do ombro de um pirata de brinquedo
38,Camaleão colorido,Um camaleão com cores psicodélicas
39,Caracol de corrida,Um caracol com um número de corrida nas costas
40,Minhoca astronauta,Uma minhoca com um capacete espacial simples
